Duration_seconds,Recorded_Date,Response_Id,Condition,Condition_Dummy,Q1,Q2,Lit_Q1,Lit_Q2,Lit_Q3,Lit_Q4,Lit_Q5,Lit_Q6,Lit_Q7,Lit_Q8,Lit_Q9,Lit_Q10,Lit_Q11,Lit_Q12,Lit_Q13,Gender,Gender_Dummy,Age,Educ,Educ_Dummy,Race
405,11/15/20 22:01,R_1M6EMF4JWbV9h9v,Bar,0,3,6,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,They are equal,Tiosis,5,Male,0,46,Completed bachelor's degree,4,White
235,11/16/20 1:12,R_CmHMCuP60wwtSHn,Dot,1,3,6,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Male,0,28,Completed master's degree or higher,5,White
284,11/16/20 8:13,R_3Grff2ApS4lDkX5,Dot,1,7,5,5,10,1,2,5,From 1975 to 1980,1,3,2,Hertinol,Apsoriatin,Tiosis,2,Male,0,47,Completed master's degree or higher,5,Black or African American
200,11/16/20 10:34,R_21poWByE3Epta56,Bar,0,6,5,35,30,40,30,20,Increase was the same in both intervals,25,40,60,Hertinol,Apsoriatin,Tiosis,5,Male,0,30,Some college,2,Black or African American
807,11/16/20 10:46,R_tWYT9sSI7tpnBol,Bar,0,2,7,35,15,25,25,20,Increase was the same in both intervals,25,40,10,They are equal,Nopsorian,Tiosis,5,Male,0,33,Completed master's degree or higher,5,White
280,11/16/20 10:46,R_1j6reLQVja4v6WS,Dot,1,2,5,35,15,25,25,20,Increase was the same in both intervals,26,40,20,They are equal,Nopsorian,Tiosis,5,Male,0,55,Completed associate degree,3,White
497,11/16/20 12:32,R_3qg1QdoG4t0uDgO,Bar,0,4,5,35,5,25,10,20,Increase was the same in both intervals,30,40,20,They are equal,Nopsorian,Coliosis,50,Female,1,67,Some college,2,White
297,11/16/20 15:32,R_3MDrywv4dBqdja2,Dot,1,2,2,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,50,Male,0,32,Completed bachelor's degree,4,White
367,11/16/20 15:40,R_sc0p4CMwnMczEyJ,Bar,0,1,7,35,15,24,26,20,Increase was the same in both intervals,24,40,10,They are equal,Nopsorian,Tiosis,5,Male,0,34,Completed high school with diploma,1,White
342,11/16/20 15:47,R_R9mSkRLbQUgz7Vv,Dot,1,2,6,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can't say,Tiosis,5,Female,1,38,Some college,2,Other:
488,11/16/20 16:05,R_6Sw7vWLt0501NZf,Dot,1,1,1,35,15,25,25,20,From 1975 to 1980,25,40,20,They are equal,Can't say,Tiosis,5,Male,0,27,Completed bachelor's degree,4,Other:
251,11/16/20 16:12,R_2uBufxO0OjHqHdr,Dot,1,7,6,35,15,25,25,20,From 2000 to 2005,22.5,40,60,Hertinol,Nopsorian,Coliosis,5,Female,1,54,Completed associate degree,3,White
219,11/16/20 16:13,R_3G6rkId33AUL1hY,Bar,0,6,5,23,23,40,14,30,From 2000 to 2005,40,40,60,Crosicol,Apsoriatin,Coliosis,50,Male,0,56,Completed bachelor's degree,4,White
268,11/16/20 16:14,R_2rZAGS8PAfHimRf,Bar,0,6,6,25,35,25,10,20,From 2000 to 2005,30,40,60,Crosicol,Apsoriatin,Coliosis,80,Female,1,38,Completed bachelor's degree,4,Asian
377,11/16/20 16:24,R_OPXZCZLoq6WsCT7,Dot,1,2,7,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Hertinol,Nopsorian,Tiosis,50,Male,0,35,Completed high school with diploma,1,White
644,11/16/20 16:35,R_zeYsKfPw33ZuiAN,Bar,0,2,7,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Male,0,23,Some college,2,White
308,11/16/20 16:52,R_2BxKxImdI2KegbF,Bar,0,6,7,7,5,10,15,20,From 2000 to 2005,22,40,60,Crosicol,Apsoriatin,Tiosis,22,Female,1,30,Completed master's degree or higher,5,American Indian or Alaska Native
159,11/16/20 17:52,R_6DR5Vl9OKkZ3udr,Dot,1,4,6,45,55,25,25,20,From 2000 to 2005,25,40,60,Hertinol,Apsoriatin,Coliosis,5,Male,0,34,Completed master's degree or higher,5,Black or African American
160,11/16/20 20:37,R_ehWvCgksmf155V7,Bar,0,5,6,35,30,25,25,25,Increase was the same in both intervals,25,40,60,They are equal,They are equal,The increase was equal,8,Male,0,50,Completed bachelor's degree,4,White
933,11/16/20 20:45,R_3qqUtXe1kvMwE0N,Dot,1,6,5,35,45,50,35,50,From 2000 to 2005,70,40,60,Hertinol,Apsoriatin,Coliosis,50,Male,0,30,Completed bachelor's degree,4,Asian
623,11/16/20 20:55,R_OuH6uIl3iku1S13,Bar,0,1,7,35,15,25,25,20,From 2000 to 2005,25,40,60,Crosicol,Can't say,Tiosis,5,Male,0,26,Completed bachelor's degree,4,Asian
505,11/17/20 4:17,R_3KU4kN7EPhshI6G,Dot,1,2,7,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,Tiosis,5,Male,0,36,Completed bachelor's degree,4,White
578,11/17/20 7:41,R_32Xa8GMTR0Gb4D0,Dot,1,5,4,35,45,50,50,20,From 2000 to 2005,0,40,60,Hertinol,Nopsorian,Coliosis,5,Female,1,25,Completed bachelor's degree,4,White
155,11/17/20 10:07,R_2cBqL0Twvu84mFK,Bar,0,6,3,35,15,35,50,20,NA,30,40,20,They are equal,Nopsorian,Coliosis,5,Female,1,30,Completed high school with diploma,1,White
264,11/17/20 11:15,R_eJmI5YbUtvwVIK5,Bar,0,5,6,9,45,30,70,7,From 2000 to 2005,8,40,60,Hertinol,Nopsorian,Tiosis,7,Female,1,47,Completed bachelor's degree,4,White
232,11/18/20 16:09,R_3kdDMv31OPSzAyo,Dot,1,3,3,35,15,25,25,20,Increase was the same in both intervals,24,30,20,They are equal,Nopsorian,Coliosis,5,Male,0,29,Completed high school with diploma,1,White
604,11/18/20 16:23,R_z835a3AOC9PN917,Dot,1,5,5,35,10,25,8,20,From 2000 to 2005,30,40,20,They are equal,Nopsorian,Coliosis,50,Male,0,30,Completed bachelor's degree,4,Black or African American
417,11/18/20 17:01,R_6YGfBl7KfcS55g5,Bar,0,3,5,35,15,35,15,20,Increase was the same in both intervals,25,40,60,Crosicol,Nopsorian,Coliosis,5,Female,1,25,Some college,2,White
